Системний час;Час доповіді;Підрозділ;Позивний репортера;Категорія зброї;Назва зброї;Ціль;Кількість;Результат;Початкові координати;Кінцеві координати;Початковий квадрат;Кінцевий квадрат;Удар коригувався БпЛА?;Використано (шт.);Залишок (шт.);Не розрив (шт.);Витрата зарядів (шт.);Режим зарядів;200;~200;300;~300;Нотатки;UUID
04/08/2026, 15:00:42;04/08/2026, 15:00:00;2 МБ;Тюльпан;Стрілецька зброя;Кулемет;Сигнатура;2;Вогневий вплив;37U DQ 00787 39563;;;;ні;"165 шт -5.56х45; 170 шт -5.45х39";"165 шт -5.56х45; 170 шт -5.45х39";0;;;;;;;*;eceabdda-aeaa-4ff2-895b-e3b94158e22e
04/08/2026, 14:58:50;04/08/2026, 14:58:00;2 МБ;Тюльпан;Стрілецька зброя;Стрілецька зброя;Ворожий FPV-дрон ждун оптоволокно;1;Знищено;37U DQ 05859 38011;;;;ні;"160 шт-5.45х39 ручна граната Ф1-2 шт;РГН - 1 шт";"1340 шт-5.45х39 ручна граната Ф1-16 шт;РГН - 10 шт";0;;;;;;;*;a64d0bd9-1309-4104-bc95-6b6f429b7b0c
04/08/2026, 14:21:52;04/08/2026, 14:21:00;2 МБ;Макларен;Стрілецька зброя;Гранатомет;Бліндаж/укриття;1;Пошкоджено;37U DQ 03121 38441;;;;ні;2шт-ПГ-7ВС;5шт-ПГ-7ВС;0;;;;;;;*;ca7de81a-cbf8-48f3-a220-6138f3b6d4db
04/08/2026, 13:37:48;04/08/2026, 13:37:00;2 МБ;Владос;Стрілецька зброя;Стрілецька зброя;на подавлення;3;Вогневий вплив;37U DQ 05108 36459;;;;ні;7.62\54 - 200   5.45 - 300;7.62\54 - 2500    5.45 - 2000;0;;;;;;;*;ea85f0d0-2329-48ce-8f2c-e40536bbee20
04/08/2026, 13:36:29;04/08/2026, 13:36:00;2 МБ;Владос;Стрілецька зброя;Стрілецька зброя;на подавлення;2;Вогневий вплив;37U DQ 05074 36082;;;;ні;7.62\51 - 200   5.45 - 270;7.62\51 - 2200   5.45 - 1900;0;;;;;;;*;1a185c5f-99f9-4ee8-a8db-4ce324b8d394
04/08/2026, 13:34:08;04/08/2026, 13:34:00;2 МБ;Владос;Стрілецька зброя;Стрілецька зброя;на подавлення;2;Вогневий вплив;37U DQ 04551 35179;;;;ні;5.56 - 150   5.45 - 270;5.56 - 2000   5.45 - 2100;0;;;;;;;*;29589b79-f8df-48a5-bee4-4bd94cf23f5f
04/08/2026, 13:13:30;04/08/2026, 13:13:00;2 МБ;Макларен;Стрілецька зброя;Стрілецька зброя;Ворожий дрон-ждун;1;Знищено;37U DQ 04292 37274;;;;ні;"165шт-5,45*39; 3шт-Ф1; 4шт-РГН";"1950шт-5,45*39; 19шт-Ф1; 20шт-РГН";0;;;;;;;*;55b9ece7-0836-4fc1-938d-9a8cabd69729
04/08/2026, 12:46:42;04/08/2026, 12:46:00;2 МБ;Макларен;Стрілецька зброя;Кулемет;Сигнатура;2;Вогневий вплив;37U DQ 03813 37910;;;;ні;"208шт-7,62*51; 156шт-5.45*39";"2000шт-7,62*51; 1950шт-5.45*39";0;;;;;;;*;33b1f6ae-f636-4202-a0ed-1fb927306280
04/08/2026, 13:00:06;04/08/2026, 12:45:00;2 МБ;Край;Міномет;Міномет, 120 мм;Бліндаж/укриття;1;Заборона дії;37U DQ 11434 38458;;;;ні;10;13;0;;;;;;;*;39552461-3a9a-47da-8d99-0b112e0bcc01
04/08/2026, 12:32:15;04/08/2026, 12:32:00;2 МБ;Тюльпан;Стрілецька зброя;Стрілецька зброя;Мінування;2;Знищено;37U DQ 05265 37048;;;;ні;"140 шт-5.45х39 ручна граната Ф1-2шт;РГН-2шт";"1440 шт-5.45х39 ручна граната Ф1-16 шт;РГН-15 шт";0;;;;;;;*;0b2f7435-a116-438a-8151-341a83555539
